age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level
15,female,6.5,Instagram,7.0,2.5,3.1,1.2,high,5,6,7
17,male,3.0,TikTok,8.0,1.0,3.3,1.5,medium,3,4,4
14,female,7.5,Instagram,5.5,3.0,2.8,0.5,low,8,9,8
16,male,2.5,Both,7.5,0.5,3.6,1.8,high,2,3,3
18,female,4.0,TikTok,6.0,1.5,2.95,1.0,medium,6,7,6
13,male,1.0,Instagram,8.5,0.5,3.85,2.0,high,1,1,1
19,female,8.0,TikTok,4.5,2.5,2.45,0.4,low,9,10,9
15,male,5.5,Both,6.5,1.8,3.1,1.0,medium,5,5,5
17,female,3.5,Instagram,7.0,1.2,3.25,1.3,high,4,5,4
16,male,6.0,TikTok,5.0,2.8,2.7,0.6,low,7,8,7
